country,cases,active,deaths,recovered,updated,lat,long
Netherlands,8635786,195,22992,8612599,2025-06-19 13:54:20.652,52.5,5.75
New Caledonia,80064,79750,314,0,2025-06-19 13:54:20.803,-21.5,165.5
New Zealand,2621111,1623,5697,2613791,2025-06-19 13:54:20.692,-41.0,174.0
Nicaragua,18491,14041,225,4225,2025-06-19 13:54:20.849,13.0,-85.0
Niger,9931,729,312,8890,2025-06-19 13:54:20.868,16.0,8.0
Nigeria,267188,4080,3155,259953,2025-06-19 13:54:20.772,10.0,8.0
Niue,1059,3,0,1056,2025-06-19 13:54:20.893,-19.0333,-169.8667
Norway,1509732,0,6638,1503094,2025-06-19 13:54:20.708,62.0,10.0
Oman,399449,394821,4628,0,2025-06-19 13:54:20.758,21.0,57.0
Pakistan,1581936,12583,30664,1538689,2025-06-19 13:54:20.706,30.0,70.0
Palau,6290,4,10,6276,2025-06-19 13:54:20.881,7.5,134.5
Palestine,621008,159,5404,615445,2025-06-19 13:54:20.745,32.0,35.25
Panama,1059893,64,8727,1051102,2025-06-19 13:54:20.725,9.0,-80.0
Papua New Guinea,46864,26,670,46168,2025-06-19 13:54:20.818,-6.0,147.0
Paraguay,837602,817447,20155,0,2025-06-19 13:54:20.733,-23.0,-58.0
Peru,4572667,0,222161,4350506,2025-06-19 13:54:20.677,-10.0,-76.0
Philippines,4140383,6138,66864,4067381,2025-06-19 13:54:20.682,13.0,122.0
Poland,6661991,6541393,120598,0,2025-06-19 13:54:20.658,52.0,20.0
Portugal,5643062,127,28126,5614809,2025-06-19 13:54:20.664,39.5,-8.0
Qatar,514524,147,690,513687,2025-06-19 13:54:20.749,25.5,51.25
Romania,3529735,657,68929,3460149,2025-06-19 13:54:20.685,46.0,25.0
Russia,24124215,175641,402756,23545818,2025-06-19 13:54:20.644,60.0,100.0
Rwanda,133518,11,1468,132039,2025-06-19 13:54:20.791,-2.0,30.0
Réunion,494595,493674,921,0,2025-06-19 13:54:20.753,-21.1,55.6
S. Korea,34571873,0,35934,34535939,2025-06-19 13:54:20.640,37.0,127.5
Saint Helena,2166,2164,0,2,2025-06-19 13:54:20.890,-15.9333,-5.7
Saint Kitts and Nevis,6607,0,48,6559,2025-06-19 13:54:20.880,17.3333,-62.75
Saint Lucia,30215,0,410,29805,2025-06-19 13:54:20.832,13.8833,-61.1333
Saint Martin,12324,12261,63,0,2025-06-19 13:54:20.861,18.11,-63.03
Saint Pierre Miquelon,3452,1001,2,2449,2025-06-19 13:54:20.888,46.8333,-56.3333
Saint Vincent and the Grenadines,9674,57,124,9493,2025-06-19 13:54:20.869,13.25,-61.2
Samoa,17006,15370,31,1605,2025-06-19 13:54:20.854,-13.5833,-172.3333
San Marino,26185,46,128,26011,2025-06-19 13:54:20.838,43.7667,12.4167
Sao Tome and Principe,6778,13,80,6685,2025-06-19 13:54:20.878,1.0,7.0
Saudi Arabia,841469,831823,9646,0,2025-06-19 13:54:20.732,25.0,45.0
Senegal,89053,58,1971,87024,2025-06-19 13:54:20.801,14.0,-14.0
Serbia,2615054,389,18057,2596608,2025-06-19 13:54:20.694,44.0,21.0
Seychelles,51220,0,172,51048,2025-06-19 13:54:20.816,-4.5833,55.6667
Sierra Leone,7779,7653,126,0,2025-06-19 13:54:20.874,8.5,-11.5
Singapore,3006155,0,2024,3004131,2025-06-19 13:54:20.688,1.3667,103.8
Sint Maarten,11051,54,92,10905,2025-06-19 13:54:20.866,18.02,-63.06
Slovakia,1877605,0,21224,1856381,2025-06-19 13:54:20.699,48.6667,19.5
Slovenia,1356546,22,7100,1349424,2025-06-19 13:54:20.711,46.0,15.0
Solomon Islands,25954,25755,199,0,2025-06-19 13:54:20.840,-8.0,159.0
Somalia,27334,12791,1361,13182,2025-06-19 13:54:20.836,10.0,49.0
South Africa,4076463,61362,102595,3912506,2025-06-19 13:54:20.683,-29.0,24.0
South Sudan,18819,557,147,18115,2025-06-19 13:54:20.848,6.8769,31.3069
Spain,13914811,30634,121760,13762417,2025-06-19 13:54:20.646,40.0,-4.0
Sri Lanka,672754,5,16897,655852,2025-06-19 13:54:20.739,7.0,81.0
St. Barth,5507,5501,6,0,2025-06-19 13:54:20.882,17.89,-62.82
Sudan,63993,0,5046,58947,2025-06-19 13:54:20.811,15.0,30.0
Suriname,82588,81180,1408,0,2025-06-19 13:54:20.802,4.0,-56.0
Swaziland,75191,648,1427,73116,2025-06-19 13:54:20.805,-26.5,31.5
Sweden,2754129,230,27407,2726492,2025-06-19 13:54:20.691,62.0,15.0
Switzerland,4453053,292,14452,4438309,2025-06-19 13:54:20.679,47.0,8.0
Syrian Arab Republic,57743,0,3165,54578,2025-06-19 13:54:20.814,35.0,38.0
Taiwan,10241523,0,19005,10222518,2025-06-19 13:54:20.650,23.5,121.0
Tajikistan,17786,397,125,17264,2025-06-19 13:54:20.851,39.0,71.0
Tanzania,43223,42377,846,0,2025-06-19 13:54:20.821,-6.0,35.0
Thailand,4770149,42927,34586,4692636,2025-06-19 13:54:20.674,15.0,100.0
Timor-Leste,23460,220,138,23102,2025-06-19 13:54:20.842,-8.55,125.5167
Togo,39572,1,290,39281,2025-06-19 13:54:20.824,8.0,1.1667
Tokelau,80,80,0,0,2025-06-19 13:54:20.895,-9.0,-172.0
Tonga,16950,1299,13,15638,2025-06-19 13:54:20.855,-20.0,-175.0
Trinidad and Tobago,191496,28,4390,187078,2025-06-19 13:54:20.785,11.0,-61.0
Tunisia,1153361,1123938,29423,0,2025-06-19 13:54:20.720,34.0,9.0
Turkey,17232066,17129892,102174,0,2025-06-19 13:54:20.645,39.0,35.0
Turks and Caicos Islands,6752,3,40,6709,2025-06-19 13:54:20.879,21.75,-71.5833
Tuvalu,2943,2942,1,0,2025-06-19 13:54:20.889,-8.0,178.0
UAE,1067030,1064681,2349,0,2025-06-19 13:54:20.724,24.0,54.0
UK,24910387,0,232112,24678275,2025-06-19 13:54:20.643,54.0,-2.0
USA,111820082,786167,1219487,109814428,2025-06-19 13:54:20.631,38.0,-97.0
Uganda,172149,68086,3632,100431,2025-06-19 13:54:20.787,1.0,32.0
Ukraine,5557995,0,112418,5445577,2025-06-19 13:54:20.665,49.0,32.0
Uruguay,1041111,2503,7664,1030944,2025-06-19 13:54:20.726,-33.0,-56.0
Uzbekistan,253662,10539,1637,241486,2025-06-19 13:54:20.774,41.0,64.0
Vanuatu,12019,29,14,11976,2025-06-19 13:54:20.862,-16.0,167.0
Venezuela,552695,302,5856,546537,2025-06-19 13:54:20.746,8.0,-66.0
Vietnam,11625195,941018,43206,10640971,2025-06-19 13:54:20.648,21.0,105.8
Wallis and Futuna,3550,3104,8,438,2025-06-19 13:54:20.887,-13.3,-176.2
Western Sahara,10,0,1,9,2025-06-19 13:54:20.898,24.5,-13.0
Yemen,11945,662,2159,9124,2025-06-19 13:54:20.864,15.0,48.0
Zambia,349304,3919,4069,341316,2025-06-19 13:54:20.763,-15.0,30.0
Zimbabwe,266359,1731,5740,258888,2025-06-19 13:54:20.773,-20.0,30.0
